Year,Sex,Fatal,Age,Moment
2016.0,M,Y,50.0,Afternoon
2016.0,F,N,12.0,Afternoon
2016.0,M,N,,Afternoon
2016.0,M,N,9.0,
2016.0,M,N,22.0,
2016.0,,,,
2016.0,M,N,25.0,Afternoon
2016.0,M,N,37.0,Afternoon
2016.0,M,N,20.0,Afternoon
2016.0,M,N,49.0,Afternoon
2016.0,M,N,15.0,
2016.0,M,N,21.0,Afternoon
2016.0,M,N,40.0,Morning
2016.0,M,N,72.0,
2016.0,M,N,43.0,
2016.0,M,N,18.0,Afternoon
2016.0,M,N,29.0,Evening
2016.0,M,N,36.0,
2016.0,M,N,31.0,Afternoon
2016.0,F,N,9.0,Afternoon
2016.0,F,N,11.0,Morning
2016.0,M,N,61.0,Afternoon
2016.0,F,N,10.0,
2016.0,M,N,59.0,Morning
2016.0,F,N,42.0,Afternoon
2016.0,M,N,34.0,Evening
2016.0,M,N,35.0,Afternoon
2016.0,M,N,11.0,Afternoon
2016.0,M,N,59.0,Morning
2016.0,M,N,42.0,Afternoon
2016.0,M,N,,Afternoon
2016.0,M,N,,Morning
2016.0,M,N,19.0,
2016.0,F,N,6.0,Afternoon
2016.0,M,N,19.0,Afternoon
2016.0,M,,27.0,Morning
2016.0,M,N,64.0,Morning
2016.0,F,Y,60.0,Morning
2016.0,M,N,23.0,Morning
2016.0,M,N,,Afternoon
2016.0,M,Y,29.0,Afternoon
2016.0,F,N,52.0,Afternoon
2016.0,M,N,13.0,Afternoon
2016.0,F,N,57.0,Afternoon
2016.0,F,N,22.0,Evening
2016.0,F,N,11.0,Afternoon
2016.0,M,N,48.0,Morning
2016.0,F,N,23.0,Afternoon
2016.0,M,N,59.0,Afternoon
2016.0,M,N,39.0,Afternoon
2016.0,M,N,24.0,Morning
2016.0,M,N,15.0,Afternoon
2016.0,M,N,,Morning
2016.0,M,N,12.0,Afternoon
2016.0,M,N,22.0,Morning
2016.0,M,N,26.0,Morning
2016.0,M,N,26.0,
2016.0,F,Y,69.0,Morning
2016.0,M,,60.0,
2016.0,M,N,34.0,
2016.0,F,N,46.0,Morning
2016.0,M,N,22.0,Evening
2016.0,M,,15.0,
2016.0,M,N,41.0,Morning
2016.0,,,,Morning
2016.0,M,N,19.0,Afternoon
2016.0,M,Y,45.0,Afternoon
2016.0,M,N,12.0,Afternoon
2016.0,M,N,,Night
2016.0,M,N,41.0,
2016.0,M,N,21.0,Evening
2016.0,M,N,31.0,Afternoon
2016.0,F,N,,Afternoon
2016.0,M,,65.0,
2016.0,M,,,Afternoon
2016.0,F,N,45.0,Afternoon
2016.0,M,N,40.0,Afternoon
2016.0,M,N,,Afternoon
2016.0,F,N,15.0,Morning
2016.0,M,N,,Morning
2016.0,M,N,48.0,Morning
2016.0,M,N,11.0,Afternoon
2016.0,M,N,31.0,Morning
2015.0,M,N,,Morning
2015.0,F,N,38.0,
2015.0,M,N,71.0,Morning
2015.0,M,N,43.0,Morning
2015.0,M,N,32.0,
2015.0,M,Y,58.0,
2015.0,,N,,Morning
2015.0,M,N,26.0,
2015.0,F,N,22.0,Morning
2015.0,M,N,55.0,Morning
2015.0,M,N,,Afternoon
2015.0,F,N,,Morning
2015.0,M,N,28.0,
2015.0,M,N,20.0,Evening
2015.0,F,,9.0,Morning
2015.0,M,N,54.0,Morning
2015.0,F,N,28.0,Afternoon
2015.0,M,N,19.0,Night
2015.0,M,N,50.0,
2015.0,M,N,10.0,Afternoon
2015.0,M,N,42.0,Afternoon
2015.0,M,N,21.0,Afternoon
2015.0,M,N,21.0,Afternoon
2015.0,F,Y,35.0,
2015.0,M,,32.0,Evening
2015.0,M,N,44.0,Morning
2015.0,M,N,,Morning
2015.0,F,N,9.0,Afternoon
2015.0,M,N,25.0,Morning
2015.0,M,N,,
2015.0,M,N,18.0,Afternoon
2015.0,M,N,22.0,Afternoon
2015.0,M,N,13.0,Morning
2015.0,M,N,14.0,Morning
2015.0,M,N,22.0,Afternoon
2015.0,F,N,7.0,Afternoon
2015.0,M,N,,Morning
2015.0,M,N,14.0,Afternoon
2015.0,M,N,27.0,Afternoon
2015.0,M,N,12.0,Afternoon
2015.0,M,N,16.0,Morning
2015.0,M,N,,Evening
2015.0,M,N,20.0,Afternoon
2015.0,M,N,42.0,Morning
2015.0,F,N,50.0,Afternoon
2015.0,M,N,29.0,Afternoon
2015.0,M,N,62.0,Morning
2015.0,M,N,,Afternoon
2015.0,F,N,37.0,Morning
2015.0,F,N,54.0,Morning
2015.0,M,N,21.0,Morning
2015.0,M,,,Evening
2015.0,M,N,38.0,Afternoon
2015.0,M,N,15.0,Afternoon
2015.0,F,N,10.0,Afternoon
2015.0,M,N,22.0,Morning
2015.0,M,,10.0,Morning
2015.0,M,N,57.0,Morning
2015.0,M,N,52.0,Morning
2015.0,M,N,47.0,
2015.0,M,,40.0,
2015.0,M,N,25.0,Evening
2015.0,F,,35.0,Morning
2015.0,M,Y,46.0,Morning
2015.0,M,N,31.0,
2015.0,M,N,40.0,
2015.0,M,N,45.0,
2015.0,M,N,34.0,
2015.0,M,N,38.0,Morning
2015.0,M,,39.0,
2015.0,M,,,
2015.0,F,N,23.0,
2015.0,M,N,32.0,Evening
2015.0,M,N,52.0,Morning
2015.0,M,N,32.0,Morning
2015.0,M,N,68.0,Afternoon
2015.0,M,N,12.0,Evening
2015.0,M,N,18.0,Afternoon
2015.0,M,N,19.0,Afternoon
2015.0,F,,,Evening
2015.0,M,N,23.0,Afternoon
2015.0,M,N,43.0,Morning
2015.0,M,N,19.0,
2015.0,M,N,47.0,Morning
2015.0,M,N,6.0,Afternoon
2015.0,F,N,37.0,Morning
2015.0,M,N,9.0,
2015.0,M,N,36.0,Morning
2015.0,M,N,10.0,Afternoon
2015.0,M,N,16.0,Afternoon
